  1)                 6  ||       1  ||        -2  ||          -3
  2)                42  ||       2  ||        -3  ||          -7
  3)               120  ||       3  ||        -5  ||          -8
  4)               156  ||       3  ||        -4  ||         -13
  5)               420  ||       4  ||        -5  ||         -21
  6)               630  ||       5  ||        -7  ||         -18
  7)               930  ||       5  ||        -6  ||         -31
  8)              1428  ||       7  ||       -12  ||         -17
  9)              1806  ||       6  ||        -7  ||         -43
 10)              2016  ||       7  ||        -9  ||         -32
 11)              2184  ||       8  ||       -13  ||         -21
 12)              3192  ||       7  ||        -8  ||         -57
 13)              4950  ||       9  ||       -11  ||         -50
 14)              5256  ||       8  ||        -9  ||         -73
 15)              8190  ||       9  ||       -10  ||         -91
 16)              8364  ||      12  ||       -17  ||         -41
 17)              8970  ||      13  ||       -23  ||         -30
 18)             10296  ||      11  ||       -13  ||         -72
 19)             10998  ||      13  ||       -18  ||         -47
 20)             12210  ||      10  ||       -11  ||        -111
 21)             17556  ||      11  ||       -12  ||        -133
 22)             19110  ||      13  ||       -15  ||         -98
 23)             21114  ||      17  ||       -27  ||         -46
 24)             23994  ||      18  ||       -31  ||         -43
 25)             24492  ||      12  ||       -13  ||        -157
 26)             28050  ||      17  ||       -22  ||         -75
 27)             32640  ||      15  ||       -17  ||        -128
 28)             33306  ||      13  ||       -14  ||        -183
 29)             34362  ||      18  ||       -23  ||         -83
 30)             37506  ||      21  ||       -38  ||         -47
 31)             39270  ||      21  ||       -34  ||         -55
 32)             44310  ||      14  ||       -15  ||        -211
 33)             52326  ||      17  ||       -19  ||        -162
 34)             57684  ||      23  ||       -33  ||         -76
 35)             57840  ||      15  ||       -16  ||        -241
 36)             70686  ||      22  ||       -27  ||        -119
 37)             74256  ||      16  ||       -17  ||        -273
 38)             79800  ||      19  ||       -21  ||        -200
 39)             83076  ||      23  ||       -28  ||        -129
 40)             93942  ||      17  ||       -18  ||        -307
 41)             99900  ||      27  ||       -37  ||        -100
 42)            116886  ||      21  ||       -23  ||        -242
 43)            117030  ||      30  ||       -47  ||         -83
 44)            117306  ||      18  ||       -19  ||        -343
 45)            120156  ||      31  ||       -57  ||         -68
 46)            133152  ||      32  ||       -57  ||         -73
 47)            143220  ||      31  ||       -44  ||        -105
 48)            144780  ||      19  ||       -20  ||        -381
 49)            149472  ||      27  ||       -32  ||        -173
 50)            165600  ||      23  ||       -25  ||        -288
 51)            170940  ||      28  ||       -33  ||        -185
 52)            176820  ||      20  ||       -21  ||        -421
 53)            196554  ||      34  ||       -47  ||        -123
 54)            201498  ||      33  ||       -43  ||        -142
 55)            213906  ||      21  ||       -22  ||        -463
 56)            228150  ||      25  ||       -27  ||        -338
 57)            256542  ||      22  ||       -23  ||        -507
 58)            257070  ||      38  ||       -55  ||        -123
 59)            280608  ||      32  ||       -37  ||        -237
 60)            284130  ||      41  ||       -70  ||         -99
 61)            302586  ||      37  ||       -47  ||        -174
 62)            305256  ||      23  ||       -24  ||        -553
 63)            306936  ||      27  ||       -29  ||        -392
 64)            314754  ||      33  ||       -38  ||        -251
 65)            319920  ||      43  ||       -80  ||         -93
 66)            342108  ||      43  ||       -68  ||        -117
 67)            360600  ||      24  ||       -25  ||        -601
 68)            404550  ||      29  ||       -31  ||        -450
 69)            410550  ||      46  ||       -75  ||        -119
 70)            423150  ||      25  ||       -26  ||        -651
 71)            426384  ||      47  ||       -81  ||        -112
 72)            452892  ||      47  ||       -73  ||        -132
 73)            483294  ||      37  ||       -42  ||        -311
 74)            484044  ||      44  ||       -57  ||        -193
 75)            493506  ||      26  ||       -27  ||        -703
 76)            505050  ||      50  ||       -91  ||        -111
 77)            519612  ||      43  ||       -53  ||        -228
 78)            523776  ||      31  ||       -33  ||        -512
 79)            532416  ||      47  ||       -64  ||        -177
 80)            534318  ||      38  ||       -43  ||        -327
 81)            572292  ||      27  ||       -28  ||        -757
 82)            611940  ||      47  ||       -60  ||        -217
 83)            660156  ||      28  ||       -29  ||        -813
 84)            667590  ||      33  ||       -35  ||        -578
 85)            704880  ||      55  ||       -89  ||        -144
 86)            717972  ||      47  ||       -57  ||        -268
 87)            744078  ||      57  ||      -107  ||        -122
 88)            757770  ||      29  ||       -30  ||        -871
 89)            779730  ||      42  ||       -47  ||        -395
 90)            839160  ||      35  ||       -37  ||        -648
 91)            852432  ||      43  ||       -48  ||        -413
 92)            861042  ||      57  ||       -83  ||        -182
 93)            865830  ||      30  ||       -31  ||        -931
 94)            874038  ||      57  ||       -82  ||        -187
 95)            922680  ||      55  ||       -72  ||        -233
 96)            985056  ||      31  ||       -32  ||        -993
 97)           1041846  ||      37  ||       -39  ||        -722
 98)           1115226  ||      53  ||       -63  ||        -334
 99)           1116192  ||      32  ||       -33  ||       -1057
100)           1195116  ||      47  ||       -52  ||        -489
101)           1224930  ||      57  ||       -70  ||        -307
102)           1260006  ||      33  ||       -34  ||       -1123
103)           1279200  ||      39  ||       -41  ||        -800
104)           1294896  ||      48  ||       -53  ||        -509
105)           1378020  ||      68  ||      -105  ||        -193
106)           1417290  ||      34  ||       -35  ||       -1191
107)           1458858  ||      57  ||       -67  ||        -382
108)           1476060  ||      60  ||       -73  ||        -337
109)           1503432  ||      72  ||      -133  ||        -157
110)           1554966  ||      41  ||       -43  ||        -882
111)           1561470  ||      73  ||      -138  ||        -155
112)           1581120  ||      64  ||       -81  ||        -305
113)           1588860  ||      35  ||       -36  ||       -1261
114)           1599972  ||      68  ||       -93  ||        -253
115)           1656270  ||      70  ||       -99  ||        -239
116)           1689366  ||      73  ||      -114  ||        -203
117)           1715700  ||      75  ||      -133  ||        -172
118)           1757652  ||      52  ||       -57  ||        -593
119)           1775556  ||      36  ||       -37  ||       -1333
120)           1813740  ||      76  ||      -129  ||        -185
121)           1873080  ||      43  ||       -45  ||        -968
122)           1890510  ||      53  ||       -58  ||        -615
123)           1978242  ||      37  ||       -38  ||       -1407
124)           2009106  ||      73  ||       -99  ||        -278
125)           2098200  ||      75  ||      -104  ||        -269
126)           2115540  ||      63  ||       -73  ||        -460
127)           2197806  ||      38  ||       -39  ||       -1483
128)           2237670  ||      45  ||       -47  ||       -1058
129)           2321676  ||      83  ||      -148  ||        -189
130)           2368080  ||      80  ||      -117  ||        -253
131)           2404344  ||      83  ||      -136  ||        -213
132)           2415816  ||      72  ||       -89  ||        -377
133)           2435160  ||      39  ||       -40  ||       -1561
134)           2498538  ||      57  ||       -62  ||        -707
135)           2552310  ||      81  ||      -115  ||        -274
136)           2597070  ||      70  ||       -83  ||        -447
137)           2653056  ||      47  ||       -49  ||       -1152
138)           2662044  ||      67  ||       -77  ||        -516
139)           2671074  ||      58  ||       -63  ||        -731
140)           2691240  ||      40  ||       -41  ||       -1641
141)           2967006  ||      41  ||       -42  ||       -1723
142)           3022656  ||      91  ||      -173  ||        -192
143)           3032274  ||      73  ||       -86  ||        -483
144)           3079674  ||      82  ||      -107  ||        -351
145)           3123750  ||      49  ||       -51  ||       -1250
146)           3148356  ||      83  ||      -109  ||        -348
147)           3263442  ||      42  ||       -43  ||       -1807
148)           3451974  ||      62  ||       -67  ||        -831
149)           3519516  ||      91  ||      -132  ||        -293
150)           3524934  ||      89  ||      -123  ||        -322
151)           3537534  ||      93  ||      -143  ||        -266
152)           3581556  ||      43  ||       -44  ||       -1893
153)           3654456  ||      51  ||       -53  ||       -1352
154)           3671388  ||      63  ||       -68  ||        -857
155)           3671754  ||      73  ||       -83  ||        -606
156)           3707046  ||      81  ||       -98  ||        -467
157)           3784074  ||      98  ||      -183  ||        -211
158)           3922380  ||      44  ||       -45  ||       -1981
159)           4100100  ||     100  ||      -173  ||        -237
160)           4165524  ||      99  ||      -157  ||        -268
161)           4250070  ||      53  ||       -55  ||       -1458
162)           4286970  ||      45  ||       -46  ||       -2071
163)           4488330  ||      77  ||       -87  ||        -670
164)           4655160  ||      67  ||       -72  ||        -965
165)           4676406  ||      46  ||       -47  ||       -2163
166)           4773930  ||     105  ||      -179  ||        -254
167)           4817586  ||      93  ||      -118  ||        -439
168)           4884384  ||      83  ||       -96  ||        -613
169)           4915680  ||      55  ||       -57  ||       -1568
170)           4929252  ||      68  ||       -73  ||        -993
171)           5091792  ||      47  ||       -48  ||       -2257
172)           5235870  ||      89  ||      -106  ||        -555
173)           5482956  ||     111  ||      -212  ||        -233
174)           5534256  ||      48  ||       -49  ||       -2353
175)           5537664  ||      99  ||      -128  ||        -437
176)           5576670  ||      86  ||       -99  ||        -655
177)           5644464  ||     107  ||      -157  ||        -336
178)           5656566  ||      57  ||       -59  ||       -1682
179)           5890500  ||      99  ||      -125  ||        -476
180)           5959068  ||      83  ||       -93  ||        -772
181)           5975796  ||     111  ||      -172  ||        -313
182)           6004950  ||      49  ||       -50  ||       -2451
183)           6008730  ||     105  ||      -142  ||        -403
184)           6046320  ||     112  ||      -177  ||        -305
185)           6148296  ||      72  ||       -77  ||       -1109
186)           6478200  ||      59  ||       -61  ||       -1800
187)           6485466  ||      73  ||       -78  ||       -1139
188)           6505050  ||      50  ||       -51  ||       -2551
189)           6597864  ||     104  ||      -133  ||        -477
190)           6748794  ||     117  ||      -191  ||        -302
191)           6811560  ||     119  ||      -216  ||        -265
192)           7035756  ||      51  ||       -52  ||       -2653
193)           7122516  ||      87  ||       -97  ||        -844
194)           7151424  ||     119  ||      -192  ||        -313
195)           7386246  ||      61  ||       -63  ||       -1922
196)           7472010  ||      98  ||      -115  ||        -663
197)           7598292  ||      52  ||       -53  ||       -2757
198)           7615770  ||     114  ||      -155  ||        -431
199)           7640268  ||     123  ||      -212  ||        -293
200)           7700784  ||     123  ||      -208  ||        -301
201)           7974582  ||      77  ||       -82  ||       -1263
202)           7980060  ||     107  ||      -132  ||        -565
203)           8007714  ||     122  ||      -187  ||        -351
204)           8193906  ||      53  ||       -54  ||       -2863
205)           8328690  ||     109  ||      -135  ||        -566
206)           8383830  ||      78  ||       -83  ||       -1295
207)           8386560  ||      63  ||       -65  ||       -2048
208)           8421504  ||     128  ||      -241  ||        -273
209)           8423520  ||      96  ||      -109  ||        -805
210)           8636040  ||     115  ||      -149  ||        -504
211)           8670090  ||     129  ||      -235  ||        -286
212)           8774766  ||     117  ||      -154  ||        -487
213)           8823870  ||      54  ||       -55  ||       -2971
214)           9176682  ||      93  ||      -103  ||        -958
215)           9428370  ||     133  ||      -255  ||        -278
216)           9458064  ||      99  ||      -112  ||        -853
217)           9485190  ||      65  ||       -67  ||       -2178
218)           9489480  ||      55  ||       -56  ||       -3081
219)           9653028  ||     132  ||      -217  ||        -337
220)          10000146  ||     106  ||      -123  ||        -767
221)          10180218  ||      82  ||       -87  ||       -1427
222)          10192056  ||      56  ||       -57  ||       -3193
223)          10400754  ||     129  ||      -182  ||        -443
224)          10671144  ||      83  ||       -88  ||       -1461
225)          10688376  ||      67  ||       -69  ||       -2312
226)          10773402  ||      97  ||      -107  ||       -1038
227)          10914246  ||     133  ||      -194  ||        -423
228)          10932942  ||      57  ||       -58  ||       -3307
229)          10968648  ||     123  ||      -157  ||        -568
230)          11126514  ||     133  ||      -191  ||        -438
231)          11389950  ||     118  ||      -143  ||        -675
232)          11654934  ||     142  ||      -251  ||        -327
233)          11713506  ||      58  ||       -59  ||       -3423
234)          12002550  ||      69  ||       -71  ||       -2450
235)          12074034  ||     138  ||      -203  ||        -431
236)          12466440  ||     136  ||      -189  ||        -485
237)          12535140  ||      59  ||       -60  ||       -3541
238)          12649104  ||     144  ||      -233  ||        -377
239)          12719652  ||     132  ||      -173  ||        -557
240)          12814404  ||      87  ||       -92  ||       -1601
241)          13397208  ||      88  ||       -93  ||       -1637
242)          13399260  ||      60  ||       -61  ||       -3661
243)          13434336  ||      71  ||       -73  ||       -2592
244)          13547796  ||     103  ||      -113  ||       -1164
245)          13555740  ||     115  ||      -132  ||        -893
246)          13603854  ||     109  ||      -122  ||       -1023
247)          13703250  ||     125  ||      -151  ||        -726
248)          13926528  ||     128  ||      -157  ||        -693
249)          14307306  ||      61  ||       -62  ||       -3783
250)          14990550  ||      73  ||       -75  ||       -2738
251)          15078000  ||     112  ||      -125  ||       -1077
252)          15234648  ||     143  ||      -193  ||        -552
253)          15260742  ||      62  ||       -63  ||       -3907
254)          15289140  ||     148  ||      -213  ||        -485
255)          15504378  ||     157  ||      -302  ||        -327
256)          15673788  ||     107  ||      -117  ||       -1252
257)          15929340  ||      92  ||       -97  ||       -1785
258)          16008678  ||     133  ||      -162  ||        -743
259)          16261056  ||      63  ||       -64  ||       -4033
260)          16457280  ||     155  ||      -237  ||        -448
261)          16614822  ||      93  ||       -98  ||       -1823
262)          16678200  ||      75  ||       -77  ||       -2888
263)          16983318  ||     157  ||      -242  ||        -447
264)          17058762  ||     162  ||      -307  ||        -343
265)          17180196  ||     132  ||      -157  ||        -829
266)          17309760  ||      64  ||       -65  ||       -4161
267)          17443860  ||     123  ||      -140  ||       -1013
268)          17462166  ||     142  ||      -179  ||        -687
269)          18170460  ||     135  ||      -161  ||        -836
270)          18408390  ||      65  ||       -66  ||       -4291
271)          18504486  ||      77  ||       -79  ||       -3042
272)          19319610  ||     113  ||      -123  ||       -1390
273)          19558506  ||      66  ||       -67  ||       -4423
274)          19580226  ||      97  ||      -102  ||       -1979
275)          19645410  ||     157  ||      -215  ||        -582
